customer_id,customer_name,mobile,frequency
"""iKEI3yM""","""May.iKEI3yM""","""+886436801972""","""12"""
"""b9xEaXC""","""Nate.b9xEaXC""","""+886436890251""","""2"""
"""MnNc5iB""","""May.MnNc5iB""","""+886508142973""","""10"""
"""y4PbT3V""","""May.y4PbT3V""","""+886740632815""","""6"""
"""opCt1ef""","""peter.opCt1ef""","""+886231756840""","""7"""
"""BTgjRkd""","""Jessica.BTgjRkd""","""+886695402178""","""1"""
"""JEZgPvt""","""peter.JEZgPvt""","""+886894750361""","""11"""
"""vpxy3ba""","""tom.vpxy3ba""","""+886159726034""","""8"""
"""qiBOtmF""","""Nate.qiBOtmF""","""+886527630814""","""8"""
"""lkJTOoP""","""tom.lkJTOoP""","""+886173059684""","""6"""
"""te3z2wd""","""May.te3z2wd""","""+886296581704""","""9"""
"""sUvXl2V""","""tom.sUvXl2V""","""+886192086453""","""14"""
"""sU6cW4g""","""tom.sU6cW4g""","""+886160349752""","""6"""
"""glYTPZS""","""Alba.glYTPZS""","""+886419820576""","""17"""
"""VBlyIOL""","""Nate.VBlyIOL""","""+886893057461""","""6"""
"""XORKtT1""","""Jessica.XORKtT1""","""+886356902871""","""5"""
"""hW7xEcY""","""Alba.hW7xEcY""","""+886589371602""","""8"""
"""K97lBLp""","""Jonothan.K97lBLp""","""+886351496780""","""6"""
"""RFN3nYz""","""Christina.RFN3nYz""","""+886638205497""","""9"""
"""Z1YlHfW""","""Alba.Z1YlHfW""","""+886954310726""","""2"""
"""Z8ahYZK""","""Cindy.Z8ahYZK""","""+886479380512""","""9"""
"""Aerutfd""","""Nate.Aerutfd""","""+886304178259""","""0"""
"""Gc4Wpgt""","""Nate.Gc4Wpgt""","""+886248569317""","""4"""
"""gUzaGpM""","""peter.gUzaGpM""","""+886739258104""","""12"""
"""ortd4gy""","""Jonothan.ortd4gy""","""+886961270385""","""12"""
"""G4wOoi5""","""Christina.G4wOoi5""","""+886458261973""","""10"""
"""kSARNre""","""Jonothan.kSARNre""","""+886529063418""","""14"""
"""d8bst27""","""Nate.d8bst27""","""+886978312540""","""16"""
"""y05RcAv""","""Nate.y05RcAv""","""+886083956421""","""9"""
"""wYc0fFT""","""tom.wYc0fFT""","""+886641803297""","""11"""
"""vgaYojn""","""peter.vgaYojn""","""+886415298730""","""12"""
"""H79fuxv""","""Alba.H79fuxv""","""+886954287136""","""10"""
"""WeUEoCk""","""Christina.WeUEoCk""","""+886368907152""","""11"""
"""nyp7TUz""","""May.nyp7TUz""","""+886157239406""","""14"""
"""p28wW4B""","""Alba.p28wW4B""","""+886015746382""","""0"""
"""EhZ85Ej""","""Christina.EhZ85Ej""","""+886319420758""","""10"""
"""StRmnZC""","""Cindy.StRmnZC""","""+886260839571""","""9"""
